GSMM,DA_final_score
GSMM_001,BjSA
GSMM_002,NA
GSMM_003,NA
GSMM_004,NA
GSMM_005,NA
GSMM_006,NA
GSMM_007,BjSA
GSMM_008,BjSA
GSMM_009,BjSA
GSMM_010,NA
GSMM_011,BjSA
GSMM_012,BjSA
GSMM_013,NTC
GSMM_014,BjSA
GSMM_015,NA
GSMM_016,NA
GSMM_017,BjSA
GSMM_018,NA
GSMM_019,BjSA
GSMM_020,BjSA
GSMM_021,NA
GSMM_022,NA
GSMM_023,NA
GSMM_024,NTC
GSMM_025,NA
GSMM_026,BjSA
GSMM_027,NA
GSMM_028,NTC
GSMM_029,NA
GSMM_030,NA
GSMM_031,NA
GSMM_032,NA
GSMM_033,NA
GSMM_034,NA
GSMM_035,BjSA
GSMM_036,NA
GSMM_037,NA
GSMM_038,NA
GSMM_039,NA
GSMM_040,NA
GSMM_041,NA
GSMM_042,NA
GSMM_043,BjSA
GSMM_044,BjSA
GSMM_045,NA
GSMM_046,BjSA
GSMM_047,NA
GSMM_048,BjSA
GSMM_049,NA
GSMM_050,BjSA
GSMM_051,NA
GSMM_052,NA
GSMM_053,BjSA
GSMM_054,NA
GSMM_055,NA
GSMM_056,NTC
GSMM_057,NTC
GSMM_058,NA
GSMM_059,BjSA
GSMM_060,NA
GSMM_061,NA
GSMM_062,BjSA
GSMM_063,NA
GSMM_064,NA
GSMM_065,BjSA
GSMM_066,NA
GSMM_067,NA
GSMM_068,NA
GSMM_069,NA
GSMM_070,NA
GSMM_071,NA
GSMM_072,NA
GSMM_073,BjSA
GSMM_074,NA
GSMM_075,BjSA
GSMM_076,NA
GSMM_077,NA
GSMM_078,NA
GSMM_079,BjSA
GSMM_080,NA
GSMM_081,NA
GSMM_082,NA
GSMM_083,NTC
GSMM_084,NA
GSMM_085,NA
GSMM_086,NA
GSMM_087,NTC
GSMM_088,NA
GSMM_089,NA
GSMM_090,NTC
GSMM_091,BjSA
GSMM_092,NA
GSMM_093,NTC
GSMM_094,NA
GSMM_095,NA
GSMM_096,BjSA
GSMM_097,BjSA
GSMM_098,NA
GSMM_099,NA
GSMM_100,NA
GSMM_101,NA
GSMM_102,NA
GSMM_103,NA
GSMM_104,NTC
GSMM_105,BjSA
GSMM_106,NTC
GSMM_107,NA
GSMM_108,NTC
GSMM_109,NA
GSMM_110,BjSA
GSMM_111,NA
GSMM_112,NA
GSMM_113,BjSA
GSMM_114,NA
GSMM_115,NA
GSMM_116,NA
GSMM_117,NA
GSMM_118,NA
GSMM_119,NA
GSMM_120,BjSA
GSMM_121,NA
