,exchange,flux
0,EX_23camp_e,1000
1,EX_23ccmp_e,1000
2,EX_23cgmp_e,1000
3,EX_2ameph_e,1000
4,EX_2pglyc_e,1000
5,EX_3amp_e,1000
6,EX_3cmp_e,1000
7,EX_3gmp_e,1000
8,EX_3ump_e,1000
9,EX_amp_e,1000
10,EX_cmp_e,1000
11,EX_coa_e,1000
12,EX_dtmp_e,1000
13,EX_f6p_e,1000
14,EX_g1p_e,1000
15,EX_g3pc_e,1000
16,EX_g3pe_e,1000
17,EX_g3pg_e,1000
18,EX_g3pi_e,1000
19,EX_g3ps_e,1000
20,EX_g6p_B_e,1000
21,EX_glcur1p_e,1000
22,EX_glyc2p_e,1000
23,EX_glyc3p_e,1000
24,EX_gmp_e,1000
25,EX_man1p_e,1000
26,EX_man6pglyc_e,1000
27,EX_nmn_e,1000
28,EX_pi_e,1000
29,EX_ppap_e,1000
30,EX_ppi_e,1000
31,EX_pser__L_e,1000
32,EX_r5p_e,1000
33,EX_tre6p_e,1000
34,EX_uaccg_e,1000
35,EX_uacgam_e,1000
36,EX_udcpdp_e,1000
37,EX_udcpp_e,1000
38,EX_udpg_e,1000
39,EX_ump_e,1000
