,metabolite,boundary
0,EX_34dhbz_e,1000
1,EX_4hbz_e,1000
2,EX_ala_B_e,1000
3,EX_bz_e,1000
4,EX_34dhcinm_e,1000
5,EX_cinnm_e,1000
6,EX_erthrs_e,1000
7,EX_escul_e,1000
8,EX_fer_e,1000
9,EX_galt_e,1000
10,EX_gal_e,1000
11,EX_galur_e,1000
12,EX_ga_e,1000
13,EX_glyc__R_e,1000
14,EX_glyc_e,1000
15,EX_lac__D_e,1000
16,EX_asn__L_e,1000
17,EX_asp__L_e,1000
18,EX_cys__L_e,1000
19,EX_val__L_e,1000
20,EX_mal__D_e,1000
21,EX_malon_e,1000
22,EX_octadecacid_e,1000
23,EX_oxa_e,1000
24,EX_pyr_e,1000
25,EX_quin_e,1000
26,EX_L-Rhamnose_e,1000
27,EX_rib__D_e,1000
28,EX_salcn_e,1000
29,EX_sbt__D_e,1000
30,EX_succ_e,1000
31,EX_urea_e,1000
32,EX_xyl__D_e,1000
