,metabolite,formula
0,EX_10fthf_e,C20H21N7O7
1,EX_12dgr120_e,C27H52O5
2,EX_12dgr140_e,C31H60O5
3,EX_12dgr141_e,C31H56O5
4,EX_12dgr160_e,C35H68O5
5,EX_12dgr161_e,C35H64O5
6,EX_12dgr180_e,C39H76O5
7,EX_12dgr181_e,C39H72O5
8,EX_12ppd__R_e,C3H8O2
9,EX_13dampp_e,C3H12N2
10,EX_13dpg_e,C3H4O10P2
11,EX_14dh2napcoa_e,C32H38N7O19P3S
12,EX_14dhncoa_e,C32H38N7O19P3S
13,EX_15dap_e,C5H16N2
14,EX_1ag160_e,C19H38O4
15,EX_1ag180_e,C21H42O4
16,EX_1ag181d9_e,C21H40O4
17,EX_1ag182d9d12_e,C21H38O4
18,EX_1ddecg3p_e,C15H29O7P
19,EX_1hdec9eg3p_e,C19H35O7P
20,EX_1p2cbxl_e,C5H6NO2
21,EX_1p3h5c_e,C5H6NO3
22,EX_1tdec7eg3p_e,C17H31O7P
23,EX_23camp_e,C10H11N5O6P
24,EX_23ccmp_e,C9H11N3O7P
25,EX_23cgmp_e,C10H11N5O7P
26,EX_23ddhb_e,C7H7O4
27,EX_23dhb_e,C7H5O4
28,EX_23dhdp_e,C7H5NO4
29,EX_25aics_e,C13H15N4O12P
30,EX_25dhpp_e,C9H14N5O8P
31,EX_25dkglcn_e,C6H7O7
32,EX_25drapp_e,C9H14N5O8P
33,EX_26dap_LL_e,C7H14N2O4
34,EX_26dap__M_e,C7H14N2O4
35,EX_26dapime_e,C9H15N2O5
36,EX_2agpe120_e,C17H36NO7P
37,EX_2agpe141_e,C19H38NO7P
38,EX_2agpe160_e,C21H44NO7P
39,EX_2agpe161_e,C21H42NO7P
40,EX_2agpe180_e,C23H48NO7P
41,EX_2agpe181_e,C23H46NO7P
42,EX_2ahhmd_e,C7H8N5O8P2
43,EX_2ahhmp_e,C7H9N5O2
44,EX_2amsa_e,C3H5NO3
45,EX_2aobut_e,C4H7NO3
46,EX_2cpr5p_e,C12H13NO9P
47,EX_2dda7p_e,C7H10O10P
48,EX_2ddecg3p_e,C15H30O7P
49,EX_2dhglcn_e,C6H9O7
50,EX_2dhp_e,C6H9O4
51,EX_2dhphaccoa_e,C29H40N7O19P3S
52,EX_2dmmq8_e,C50H70O2
53,EX_2dmmql8_e,C50H72O2
54,EX_2dr1p_e,C5H9O7P
55,EX_2dr5p_e,C5H9O7P
56,EX_2h3oppan_e,C3H3O4
57,EX_2hyoxplac_e,C8H7O3
58,EX_2ins_e,C6H10O6
59,EX_2ippm_e,C7H8O4
60,EX_2kmb_e,C5H7O3S
61,EX_2maacoa_e,C26H38N7O18P3S
62,EX_2mb2coa_e,C26H38N7O17P3S
63,EX_2mbcoa_e,C26H40N7O17P3S
64,EX_2mcacn_e,C7H5O6
65,EX_2mcit_e,C7H7O7
66,EX_2me4p_e,C5H11O7P
67,EX_2mecdp_e,C5H10O9P2
68,EX_2mp2coa_e,C25H36N7O17P3S
69,EX_2obut_e,C4H5O3
70,EX_2oxoadp_e,C6H6O5
71,EX_2p4c2me_e,C14H22N3O17P3
72,EX_2pg_e,C3H4O7P
73,EX_2shchc_e,C11H10O6
74,EX_34hpp_e,C9H7O4
75,EX_3amp_e,C10H12N5O7P
76,EX_3c2hmp_e,C7H10O5
77,EX_3c3hmp_e,C7H10O5
78,EX_3c4mop_e,C7H8O5
79,EX_3cmp_e,C9H12N3O8P
80,EX_3dhq_e,C7H9O6
81,EX_3dhsk_e,C7H7O5
82,EX_3gmp_e,C10H12N5O8P
83,EX_3hadpcoa_e,C27H39N7O20P3S
84,EX_3hbcoa__R_e,C25H38N7O18P3S
85,EX_3hbcoa_e,C25H38N7O18P3S
86,EX_3hbycoa_e,C25H38N7O18P3S
87,EX_3hdcoa_e,C31H50N7O18P3S
88,EX_3hddcoa_e,C33H54N7O18P3S
89,EX_3hhcoa_e,C27H42N7O18P3S
90,EX_3hhdcoa_e,C37H62N7O18P3S
91,EX_3hibutcoa_e,C25H38N7O18P3S
92,EX_3hmbcoa_e,C26H40N7O18P3S
93,EX_3hmp_e,C4H7O3
94,EX_3hocoa_e,C29H46N7O18P3S
95,EX_3hodcoa_e,C39H66N7O18P3S
96,EX_3hptcoa_e,C26H40N7O18P3S
97,EX_3htdcoa_e,C35H58N7O18P3S
98,EX_3ig3p_e,C11H12NO6P
99,EX_3mb2coa_e,C26H38N7O17P3S
100,EX_3mb_e,C5H9O2
101,EX_3mgcoa_e,C27H37N7O19P3S
102,EX_3mob_e,C5H7O3
103,EX_3mop_e,C6H9O3
104,EX_3o6athcoa_e,C23H32N7O16P3S
105,EX_3odcoa_e,C31H48N7O18P3S
106,EX_3odd5coa_e,C35H54N7O18P3S
107,EX_3odd6coa_e,C33H48N7O18P3S
108,EX_3oddccoa_e,C33H51N7O18P3S
109,EX_3oddcoa_e,C33H52N7O18P3S
110,EX_3ohcoa_e,C27H40N7O18P3S
111,EX_3ohd58coa_e,C35H50N7O18P3S
112,EX_3ohdcoa_e,C37H60N7O18P3S
113,EX_3ohodcoa_e,C39H64N7O18P3S
114,EX_3ohpcoa_e,C28H42N7O18P3S
115,EX_3ononacoa_e,C30H44N7O18P3S
116,EX_3oocoa_e,C29H44N7O18P3S
117,EX_3opbcoa_e,C31H40N7O18P3S
118,EX_3opdecacoa_e,C37H46N7O18P3S
119,EX_3ophxacoa_e,C33H42N7O18P3S
120,EX_3opnonacoa_e,C36H44N7O18P3S
121,EX_3opoctacoa_e,C35H44N7O18P3S
122,EX_3opptcoa_e,C32H40N7O18P3S
123,EX_3optcoa_e,C26H38N7O18P3S
124,EX_3otdccoa_e,C35H54N7O18P3S
125,EX_3otdcoa_e,C35H56N7O18P3S
126,EX_3pg_e,C3H4O7P
127,EX_3php_e,C3H2O7P
128,EX_3psme_e,C10H9O10P
129,EX_3sala_e,C3H5NO4S
130,EX_3snpyr_e,C3H2O5S
131,EX_3ump_e,C9H11N2O9P
132,EX_4abut_e,C4H9NO2
133,EX_4abutn_e,C4H10NO
134,EX_4abz_e,C7H6NO2
135,EX_4adcho_e,C10H10NO5
136,EX_4c2me_e,C14H23N3O14P2
137,EX_4fumacac_e,C8H6O6
138,EX_4gudbutn_e,C5H11N3O2
139,EX_4h2oglt_e,C5H4O6
140,EX_4hba_e,C7H8O2
141,EX_4hbald_e,C7H6O2
142,EX_4hbz_e,C7H5O3
143,EX_4hbzcoa_e,C28H36N7O18P3S
144,EX_4hoxpacd_e,C8H8O2
145,EX_4hphac_e,C8H7O3
146,EX_4hpro_LT_e,C5H9NO3
147,EX_4izp_e,C6H7N2O3
148,EX_4mlacac_e,C8H6O6
149,EX_4mop_e,C6H9O3
150,EX_4pasp_e,C4H6NO7P
151,EX_4per_e,C4H6O8P
152,EX_4ppan_e,C9H15NO8P
153,EX_4ppcys_e,C12H20N2O9PS
154,EX_4r5au_e,C9H16N4O6
155,EX_56dura_e,C4H6N2O2
156,EX_5a2opntn_e,C5H9NO3
157,EX_5aizc_e,C9H11N3O9P
158,EX_5aop_e,C5H9NO3
159,EX_5aprbu_e,C9H15N4O9P
160,EX_5apru_e,C9H13N4O9P
161,EX_5aptn_e,C5H11NO2
162,EX_5caiz_e,C9H11N3O9P
163,EX_5dh4dglc_e,C6H6O7
164,EX_5drib_e,C5H10O4
165,EX_5forthf_e,C20H22N8O6
166,EX_5fthf_e,C20H21N7O7
167,EX_5g2oxpt_e,C6H11N3O3
